"tranquil","Adjective","The spa provided a tranquil environment with soft music and the gentle sound of flowing water.|We spent a tranquil afternoon sitting by the lake, watching the dragonflies hover over the still surface."
"fragrant","Adjective","The garden was filled with fragrant lilies that perfumed the air every evening.|She brewed a pot of fragrant jasmine tea that filled the kitchen with a floral aroma."
"vivid","Adjective","I had such a vivid dream last night that I could still smell the salt air when I woke up.|The witness provided a vivid description of the suspect, including the exact color of his eyes."
"unanimous","Adjective","The jury reached a unanimous verdict, with all twelve members agreeing that the defendant was innocent.|The board of directors was unanimous in their decision to appoint the new CEO immediately."
"everyone","Pronoun","The room fell silent because **everyone** was waiting for the guest of honor to arrive.|It is a secret that **everyone** in the small town seems to know except for me."
"themselves","Pronoun","After the long hike, the scouts built a campfire and cooked dinner for **themselves**.|The children are old enough to wash the dishes and clean the playroom by **themselves**."
"anybody","Pronoun","The house was so quiet that I didn't think there was **anybody** home.|Is there **anybody** in the office who knows how to fix the paper jam in the copier?"
"whose","Pronoun","That is the neighbor **whose** dog barks loudly at the mailman every single morning.|I found a set of keys on the sidewalk, but I have no idea **whose** they are."
"each","Pronoun","There were ten contestants, and **each** was given a unique number to wear during the race.|The twins are very different; **each** has his own distinct personality and set of hobbies."
"something","Pronoun","I can smell **something** burning in the kitchen, so please check the oven immediately.|She felt **something** crawl across her foot while she was walking through the tall grass."
"which","Pronoun","We have two options for dinner, so you need to decide **which** you would prefer.|The blue coat, **which** belonged to my grandfather, is still in excellent condition."
"none","Pronoun","I looked for my keys everywhere, but **none** of the usual spots yielded any results.|Of all the cakes entered in the baking contest, **none** tasted better than the chocolate one."
"whoever","Pronoun","**Whoever** left the window open last night should be responsible for cleaning up the rain puddles.|The prize will be awarded to **whoever** crosses the finish line in the shortest amount of time."
"everything","Pronoun","He lost his luggage at the airport, so he had to go out and buy **everything** from scratch.|She was so organized that **everything** in her toolbox was labeled and in its proper place."
"somebody","Pronoun","I heard a knock at the door, so there must be **somebody** outside waiting to come in.|Can **somebody** please help me carry these heavy boxes up to the third floor?"
"itself","Pronoun","The modern security system is so advanced that it can actually reset **itself** after a power outage.|The cat spent the entire afternoon grooming **itself** while sitting on the sunny windowsill."
"those","Pronoun","**Those** are the shoes I want to buy, but they are currently out of stock in my size.|The cookies on the top shelf are for the party, so please don't eat **those** yet."
"another","Pronoun","This cup of coffee is cold; would you mind bringing me **another** one that is fresh?|I've finished reading this book, so I'm going to the library to find **another**."
"few","Pronoun","Many people applied for the executive position, but only a **few** were chosen for an interview.|Most of the apples were bruised, but I managed to find a **few** that were still crisp."
"whom","Pronoun","The woman to **whom** you were speaking earlier is the director of the local hospital.|He is the candidate for **whom** I decided to cast my vote during the last election."
"nothing","Pronoun","The fridge was completely empty, so there was **nothing** to eat for breakfast this morning.|He looked disappointed, but he said **nothing** when the teacher announced the test results."
"neither","Pronoun","I offered him tea or coffee, but he wanted **neither** and asked for a glass of water.|Both shirts are expensive, and unfortunately, **neither** fits me quite right."
"ourselves","Pronoun","We don't need a professional painter because we can easily paint the living room **ourselves**.|We should be proud of **ourselves** for finishing the marathon in under four hours."
"whatever","Pronoun","You can choose **whatever** you want from the menu, and I will pay for the meal.|I will follow your lead and do **whatever** is necessary to make this project a success."
"architecture","Noun","The city is famous for its Gothic architecture, characterized by pointed arches and stone gargoyles.|He decided to study architecture because he loved designing complex structures and drafting blueprints."
"hypothesis","Noun","The scientist formed a hypothesis to explain why the plants grew faster in red light than in blue light.|After conducting the experiment, the data proved that her original hypothesis was incorrect."
"monarchy","Noun","The country transitioned from an absolute monarchy to a democracy where the people elect their leaders.|The king is the head of the monarchy, but he holds very little actual political power today."
"adversary","Noun","In the final round of the tournament, he had to face his toughest adversary yet.|Though they were friends in private, they were fierce adversaries on the floor of the senate."
"component","Noun","The engineer explained that every small component in the engine must function perfectly for the car to run.|Nitrogen is a major component of the Earth's atmosphere, making up about seventy-eight percent of the air."
"drought","Noun","The farmers lost their entire corn crop this year due to a severe drought that lasted all summer.|The reservoir reached record low levels because there was no rainfall during the long drought."
"equilibrium","Noun","The gymnast moved her arms slightly to maintain her equilibrium while walking across the narrow balance beam.|In economics, a market reaches equilibrium when the supply of a product matches the consumer demand."
"nostalgia","Noun","Listening to the songs from his childhood filled him with a deep sense of nostalgia for his old hometown.|The vintage decor in the diner was designed to evoke nostalgia for the nineteen-fifties."
"receptionist","Noun","The receptionist at the front desk asked me to sign in and wait a few minutes for my appointment.|If you have any questions upon entering the building, the receptionist can give you a visitor's badge."
"scarcity","Noun","The scarcity of clean water in the desert makes it the most valuable resource for any traveler.|Due to the scarcity of rare earth minerals, the price of high-end electronics has risen sharply."
"utensil","Noun","A spatula is a very useful kitchen utensil for flipping pancakes or scraping batter out of a bowl.|The campers packed only the most essential items, including a multi-purpose eating utensil."
"vaccine","Noun","The doctor administered a vaccine to the child to protect her from catching the flu during the winter.|Scientists worked around the clock to develop an effective vaccine to stop the spread of the virus."
"wilderness","Noun","They spent a week hiking through the wilderness, carrying all their food and sleeping in a tent.|The national park was established to preserve the vast wilderness from being developed into a city."
"amendment","Noun","The lawmakers proposed an amendment to the constitution to guarantee the right to free speech.|It took a two-thirds majority vote in Congress to pass the latest amendment to the bill."
"beverage","Noun","The flight attendant walked down the aisle asking passengers if they would like a cold beverage.|Water is the most consumed beverage in the world, followed closely by tea and coffee."
"collision","Noun","The two cars were badly damaged in a head-on collision at the intersection this morning.|Astronomers are studying the predicted collision between two distant galaxies."
"expertise","Noun","Because of her expertise in computer coding, she was hired to lead the software development team.|The surgeon's expertise was evident in the way he handled the most delicate part of the operation."
"incentive","Noun","The company offered a cash bonus as an incentive for employees to meet their sales goals early.|The government provided a tax incentive to encourage citizens to install solar panels on their roofs."
"labyrinth","Noun","The library was a labyrinth of narrow hallways and hidden staircases where it was easy to get lost.|The mythological hero had to navigate a complex labyrinth to find and defeat the monster."
"precipice","Noun","The hiker stood at the edge of the precipice and looked down at the valley floor miles below.|The two nations were standing on the precipice of war before the peace treaty was signed."
word,category,sentences
"through","Adposition","The hiker had to push his way through the dense underbrush to reach the hidden waterfall.|The light shone through the stained-glass window, casting colorful patterns on the floor."
"between","Adposition","The small village is nestled in a narrow valley between two towering mountain ranges.|I had to choose between the chocolate cake and the fruit tart for dessert."
"during","Adposition","Please keep your mobile phones turned off during the performance to avoid distracting the actors.|It rained heavily during the night, but the sun was shining by the time we woke up."
"against","Adposition","The frustrated gardener leaned his heavy metal shovel against the oak tree and took a break.|The local residents are protesting against the construction of a new highway through the park."
"among","Adposition","The red cardinal was easy to spot among the many brown sparrows gathered at the bird feeder.|He felt a sense of peace while walking among the ancient trees of the redwood forest."
"beyond","Adposition","The explorers wanted to see what lay beyond the horizon, so they continued sailing west.|Her performance was excellent and went far beyond the expectations of her demanding coach."
"despite","Adposition","They decided to go for a long walk in the woods despite the dark clouds and the threat of rain.|Despite his lack of formal training, he became one of the most successful chefs in the city."
"underneath","Adposition","The children found a dusty old wooden chest hidden underneath the loose floorboards in the attic.|She wore a warm thermal shirt underneath her heavy winter coat to stay cozy in the snow."
"beside","Adposition","The golden retriever sat patiently beside its owner's chair, waiting for a scrap of food to fall.|There is a small, charming cafe located right beside the old stone bridge."
"throughout","Adposition","The upbeat music could be heard throughout the entire building, from the basement to the roof.|He remained calm and focused throughout the long and difficult surgical procedure."
"towards","Adposition","The puppy barked excitedly and ran towards the front door as soon as it heard the key turn.|The government is taking significant steps towards reducing carbon emissions over the next decade."
"beneath","Adposition","The treasure hunters believed that a pirate ship was buried deep beneath the shifting desert sands.|He tried to hide his true emotions, but his sadness was visible just beneath the surface."
"within","Adposition","The delivery service guarantees that your package will arrive within three business days.|The answer to the riddle is hidden within the text of the poem itself."
"concerning","Adposition","The manager called a meeting to discuss several important issues concerning office safety.|I received an urgent email from the bank concerning some suspicious activity on my account."
"under","Adposition","The cat was hiding under the kitchen table because it was scared of the loud thunder.|In this country, children under the age of eighteen are not permitted to vote in elections."
"across","Adposition","The marathon runners had to race across the long bridge that connects the two islands.|He drew a straight line across the piece of paper using a ruler and a black marker."
"opposite","Adposition","The post office is located directly opposite the train station on the other side of the street.|In the debate, she argued for the opposite point of view to challenge the audience's assumptions."
"including","Adposition","The price of the tour is fifty dollars, including lunch and a guided walk through the museum.|The whole family attended the reunion, including several cousins I hadn't seen in years."
"past","Adposition","If you walk past the library and turn left at the fountain, you will see the hospital.|It is already half past ten, so we should probably start heading home before it gets too late."
"above","Adposition","The eagle soared high above the clouds, looking down at the mountains below.|Please write your name and address in the space provided above the dotted line."
