word,category,sentences
"美麗","Adjective","這片風景非常美麗，吸引了無數遊客前來拍照留念。|她穿著一件美麗的禮服出現在舞會上，每個人都讚不絕口。"
"游泳","Verb","夏天天氣炎熱，許多小朋友喜歡到海邊游泳消暑。|他像魚兒一樣在水裡自在地游泳，泳速非常快。"
"駕駛","Verb","在取得執照之前，你必須先學會如何安全地駕駛汽車。|他在高速公路上小心地駕駛，時刻注意後方來車。"
"修理","Verb","水龍頭漏水了，爸爸正拿著工具箱準備修理。|這台電腦壞了很久，技師終於把它修理好了。"
"慶祝","Verb","全家人聚在一起，共同慶祝奶奶的八十歲大壽。|贏得比賽後，球員們開香檳大聲歡呼來慶祝勝利。"
"溝通","Verb","兩國領導人決定透過對話來溝通，以解決長久以來的糾紛。|良好的溝通是建立穩定人際關係的基石。"
"拒絕","Verb","雖然對方的條件很誘人，但他還是堅定地拒絕了這項提議。|他因為太忙而不得不拒絕了朋友的聚會邀請。"
"考慮","Verb","這是一項重大的決定，請給我幾天的時間仔細考慮。|在買房之前，你必須考慮到交通、機能與預算問題。"
"保護","Verb","為了保護環境，我們應該減少使用一次性塑膠產品。|這層特殊的塗料可以保護木頭不受潮濕天氣的侵蝕。"
"解釋","Verb","老師正在黑板上畫圖，試圖向學生解釋地心引力的原理。|你能解釋一下為什麼你今天開會遲到了嗎？"
"觀察","Verb","科學家在野外長時間觀察鳥類的遷徙習慣。|透過顯微鏡觀察，我們可以看到細胞的微觀結構。"
"打掃","Verb","過年前，全家人會一起大掃除，把家裡打掃得一塵不染。|下課後，學生們輪流留在教室打掃衛生。"
"創造","Verb","這位藝術家用廢棄的金屬創造出一件令人驚嘆的雕塑作品。|科技的進步為人類創造了更便利的生活方式。"
"等待","Verb","他在火車站的長椅上焦急地等待，期待見到多年不見的好友。|好機會值得耐心等待，不要因為一時衝動而放棄。"
"討論","Verb","我們針對明年的行銷計畫進行了深入的討論。|同學們圍坐在一起討論老師剛才提出的問題。"
"練習","Verb","想要彈好鋼琴，唯一的捷徑就是不斷地練習。|他在家裡對著鏡子練習演講，調整自己的表情與語氣。"
"忘記","Verb","他出門太匆忙，竟然忘記帶錢包和鑰匙。|時間會讓人忘記痛苦，但珍貴的回憶永遠都在。"
"在","Adposition","他現在正坐在椅子上看書，一動也不動。|那本書就在桌子上面，你自己去拿。"
"從","Adposition","我們打算從臺北搭火車去花蓮旅遊。|這段引文是從那本著名的古典小說中節錄出來的。"
"到","Adposition","這班公車會直接開到市中心，中途不停靠。|他每天從早忙到晚，幾乎沒有休息的時間。"
"對","Adposition","多吃蔬菜對身體健康非常有幫助。|他對這件突發事件的反應感到非常驚訝。"
"向","Adposition","請你向左轉，走到底就會看到那家書店了。|他誠懇地向老師請教關於未來職涯發展的問題。"
"往","Adposition","沿著這條路一直往北走，你就會看到火車站。|這班飛機是往美國舊金山的，請旅客準時登機。"
"離","Adposition","我家離學校很近，走路只要五分鐘就到了。|他現在所在的位置離終點線只剩下一百公尺。"
"自","Adposition","這份禮物是自遠方寄來的，充滿了朋友的心意。|他自幼就對天文學感興趣，夢想成為宇航員。"
"朝","Adposition","他朝著太陽升起的方向跑去，迎接新的一天。|請朝這張紙的中心點看，你會發現隱藏的圖案。"
"跟","Adposition","我明天想跟朋友一起去電影院看最新上映的大片。|他跟弟弟長得非常像，外人很難分辨出來。"
"與","Adposition","這項政策與民眾的生活息息相關，必須謹慎處理。|他與家人在公園散步，享受溫暖的午後陽光。"
"由","Adposition","這場音樂會將由著名的指揮家帶領樂團演出。|這個提案是由委員會經過多方討論後決定的。"
"關於","Adposition","這本雜誌裡有許多關於環境保護的專題報導。|關於這項計畫的預算，我們還需要再進一步核算。"
"至於","Adposition","主菜我已經準備好了，至於甜點就交給你負責。|他很喜歡這支手機的設計，至於價格則在考慮範圍內。"
"除了","Adposition","除了蘋果以外，他什麼水果都不喜歡吃。|今天除了小明請假，其他同學都準時出席了。"
"為了","Adposition","為了能考上理想的大學，他每天都讀書到深夜。|他努力工作是為了給家人提供更好的生活環境。"
"依據","Adposition","法官會依據法律事實來做出最終的判決。|我們依據實驗結果得出結論，證明這個假設是正確的。"
"經過","Adposition","經過長時間的努力，他終於實現了創業的夢想。|經過那家店門口時，我被櫥窗裡的精美手錶吸引了。"
"沿著","Adposition","沿著這條河邊的小徑散步，風景非常優美。|你只要沿著黃色實線走，就能找到展覽廳的出口。"
"隨著","Adposition","隨著氣溫升高，冰淇淋的銷量也跟著大幅增加。|隨著年齡的增長，他變得越來越成熟穩重了。"
